"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112845987-112935987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112940987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112845987-112945987",1,0,2.20047837175745,0,1,NA
"112845987-112950987",0,NA,NA,NA,NA,NA
"112845987-112955987",0,NA,NA,NA,NA,NA
"112845987-112960987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112965987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-112970987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-112975987",0,NA,NA,NA,NA,NA
"112845987-112980987",0,NA,NA,NA,NA,NA
"112845987-112985987",2,1,2.78967616960906,0.358464545417161,0.719995696030497,NA
"112845987-112990987",0,NA,NA,NA,NA,NA
"112845987-112995987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112845987-113000987",1,0,2.20047837175745,0,1,NA
"112845987-113005987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113010987",0,NA,NA,NA,NA,NA
"112845987-113015987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113020987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113025987",0,NA,NA,NA,NA,NA
"112845987-113030987",0,NA,NA,NA,NA,NA
"112845987-113035987",1,0,2.20047837175745,0,1,NA
"112845987-113040987",0,NA,NA,NA,NA,NA
"112845987-113045987",0,NA,NA,NA,NA,NA
"112845987-113050987",0,NA,NA,NA,NA,NA
"112845987-113055987",0,NA,NA,NA,NA,NA
"112845987-113060987",0,NA,NA,NA,NA,NA
"112845987-113065987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113070987",0,NA,NA,NA,NA,NA
"112845987-113075987",0,NA,NA,NA,NA,NA
"112845987-113080987",0,NA,NA,NA,NA,NA
"112845987-113085987",0,NA,NA,NA,NA,NA
"112845987-113090987",0,NA,NA,NA,NA,NA
"112845987-113095987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113100987",0,NA,NA,NA,NA,NA
"112845987-113105987",0,NA,NA,NA,NA,NA
"112845987-113110987",0,NA,NA,NA,NA,NA
"112845987-113115987",0,NA,NA,NA,NA,NA
"112845987-113120987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113125987",0,NA,NA,NA,NA,NA
"112845987-113130987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113135987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113140987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112845987-113145987",0,NA,NA,NA,NA,NA
"112845987-113150987",0,NA,NA,NA,NA,NA
"112845987-113155987",0,NA,NA,NA,NA,NA
"112845987-113160987",0,NA,NA,NA,NA,NA
"112845987-113165987",0,NA,NA,NA,NA,NA
"112845987-113170987",0,NA,NA,NA,NA,NA
"112845987-113175987",0,NA,NA,NA,NA,NA
"112845987-113180987",0,NA,NA,NA,NA,NA
"112845987-113185987",0,NA,NA,NA,NA,NA
"112845987-113190987",0,NA,NA,NA,NA,NA
"112845987-113195987",0,NA,NA,NA,NA,NA
"112850987-112735987",1,0,2.37315904673056,0,1,NA
"112850987-112740987",0,NA,NA,NA,NA,NA
"112850987-112745987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112850987-112750987",2,1,2.49915197620668,0.400135729847788,0.689056548993229,NA
"112850987-112755987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112850987-112760987",1,0,2.37315904673056,0,1,NA
"112850987-112765987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112850987-112770987",1,0,2.37315904673056,0,1,NA
"112850987-112775987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112850987-112780987",1,0,2.37315904673056,0,1,NA
"112850987-112785987",0,NA,NA,NA,NA,NA
"112850987-112790987",2,1,2.49915197620668,0.400135729847788,0.689056548993229,NA
"112850987-112810987",2,1,2.49915197620668,0.400135729847788,0.689056548993229,NA
"112850987-112820987",2,1,2.49915197620668,0.400135729847788,0.689056548993229,NA
"112850987-112830987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112850987-112880987",0,NA,NA,NA,NA,NA
"112850987-112890987",1,0,2.37315904673056,0,1,NA
"112850987-112895987",1,0,2.37315904673056,0,1,NA
"112850987-112900987",1,0,2.37315904673056,0,1,NA
"112850987-112905987",0,NA,NA,NA,NA,NA
"112850987-112910987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112850987-112915987",0,NA,NA,NA,NA,NA
"112850987-112920987",2,1,2.49915197620668,0.400135729847788,0.689056548993229,NA
"112850987-112925987",0,NA,NA,NA,NA,NA
"112850987-112930987",1,0,2.37315904673056,0,1,NA
"112850987-112935987",1,0,2.37315904673056,0,1,NA
"112850987-112940987",0,NA,NA,NA,NA,NA
"112850987-112945987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112850987-112950987",0,NA,NA,NA,NA,NA
"112850987-112955987",0,NA,NA,NA,NA,NA
"112850987-112960987",0,NA,NA,NA,NA,NA
"112850987-112965987",0,NA,NA,NA,NA,NA
